epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
145,0.00451,99.978,1.15655,72.49,91.44,1.15204,0.0005212389780812732,15.748,0.980|0.704,0.07|4.20,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,2285.49
146,0.00449,99.982,1.15641,72.58,91.32,1.15192,0.0004586074359995118,15.64,0.973|0.741,0.18|3.60,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,258,49920,2301.13
147,0.00462,99.97,1.15484,72.51,91.31,1.15021,0.00039989541717674215,15.682,0.972|0.730,0.17|3.77,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,255,49920,2316.82
148,0.00449,99.976,1.1569,72.47,91.33,1.15241,0.0003451270400130646,15.706,0.970|0.742,0.22|3.59,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,258,49920,2332.52
149,0.00461,99.966,1.1576,72.49,91.3,1.15299,0.00029432480289398377,15.703,0.969|0.748,0.21|3.48,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,254,49920,2348.22
150,0.00452,99.982,1.15565,72.56,91.35,1.15113,0.0002475095749482603,15.626,0.975|0.734,0.15|3.71,894.8|420.4,3120.0|3120.0,260|260,0|0,0|2,258,49920,2363.85
151,0.00446,99.98,1.15692,72.33,91.31,1.15246,0.00020470058747505516,15.588,0.977|0.739,0.11|3.61,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,2379.44
152,0.00462,99.97,1.15523,72.41,91.29,1.15061,0.00016591542604387443,15.589,0.966|0.749,0.27|3.47,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,250,49920,2395.03
153,0.00449,99.968,1.15693,72.54,91.33,1.15244,0.00013117002327055926,15.705,0.975|0.733,0.15|3.71,894.8|420.0,3120.0|3120.0,260|260,0|0,0|2,259,49920,2410.73
154,0.00456,99.98,1.15613,72.3,91.34,1.15157,0.0001004786522723089,15.717,0.972|0.744,0.21|3.55,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,257,49920,2426.45
155,0.00462,99.97,1.15595,72.44,91.32,1.15133,7.385392080440534e-05,15.486,0.976|0.735,0.11|3.66,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,2441.94
156,0.00458,99.978,1.1577,72.31,91.26,1.15312,5.130676608104845e-05,15.672,0.966|0.745,0.27|3.52,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,2457.61
157,0.00457,99.968,1.15446,72.43,91.19,1.14989,3.2846450282447705e-05,15.565,0.976|0.722,0.11|3.86,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,257,49920,2473.17
158,0.00448,99.974,1.15545,72.49,91.28,1.15097,1.8480556749991273e-05,15.569,0.966|0.758,0.30|3.30,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,252,49920,2488.74
159,0.00446,99.978,1.1552,72.5,91.31,1.15074,8.214986871076801e-06,15.535,0.973|0.737,0.15|3.61,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,2504.28
160,0.00451,99.978,1.15767,72.46,91.27,1.15315,2.0539576548717075e-06,15.573,0.969|0.748,0.23|3.45,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,255,49920,2519.85
