epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
86,0.00835,99.916,1.28222,70.93,90.39,1.27387,0.009493508311612874,14.936,0.977|0.755,0.06|3.23,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1301.61
87,0.00739,99.9,1.27967,70.3,90.31,1.27228,0.009291202947691271,14.874,0.979|0.760,0.05|3.11,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1316.49
88,0.00748,99.906,1.26428,70.58,90.6,1.2568,0.009089188751595936,15.281,0.977|0.739,0.07|3.55,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1331.77
89,0.00632,99.926,1.25322,70.91,90.64,1.2469,0.008887548709047765,14.998,0.978|0.749,0.06|3.33,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,1346.77
90,0.00612,99.936,1.24687,70.95,90.45,1.24075,0.008686365652068536,15.08,0.979|0.744,0.07|3.42,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1361.85
91,0.00545,99.948,1.24327,70.94,90.69,1.23782,0.008485722224954237,14.956,0.978|0.754,0.05|3.24,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1376.8
92,0.00589,99.938,1.23099,71.16,90.91,1.2251,0.008285700850325466,14.99,0.975|0.762,0.10|3.15,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1391.79
93,0.0056,99.942,1.23246,70.88,90.68,1.22685,0.008086383695268937,15.08,0.978|0.747,0.07|3.36,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1406.87
94,0.00555,99.938,1.21517,71.21,90.76,1.20962,0.007887852637583927,14.894,0.979|0.754,0.05|3.25,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1421.77
95,0.006,99.93,1.21061,71.32,90.75,1.20461,0.007690189232147566,15.09,0.976|0.746,0.08|3.38,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,257,49920,1436.86
96,0.00581,99.942,1.21064,71.44,90.67,1.20483,0.007493474677412793,14.987,0.978|0.754,0.06|3.27,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,1451.84
97,0.00542,99.946,1.20756,71.19,90.69,1.20214,0.007297789782052716,14.773,0.978|0.767,0.06|3.00,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1466.62
98,0.00551,99.948,1.20219,71.54,90.77,1.19668,0.007103214931765079,15.197,0.979|0.742,0.05|3.50,904.8|352.8,3120.0|3120.0,260|260,0|0,2|0,259,49920,1481.81
99,0.00557,99.946,1.19491,71.48,90.97,1.18934,0.006909830056250526,14.834,0.976|0.761,0.07|3.09,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,255,49920,1496.65
100,0.00558,99.946,1.18427,71.56,90.95,1.17869,0.0067177145963781375,14.942,0.977|0.752,0.06|3.28,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,259,49920,1511.59
101,0.00549,99.952,1.18997,71.42,90.82,1.18448,0.0065269474715517984,15.002,0.979|0.750,0.05|3.31,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,259,49920,1526.59
102,0.00565,99.942,1.19198,71.29,90.7,1.18633,0.006337607047290773,14.969,0.979|0.761,0.06|3.16,904.8|353.0,3120.0|3120.0,260|260,0|0,2|0,258,49920,1541.56
103,0.00544,99.956,1.18276,71.59,90.99,1.17733,0.00614977110303782,14.945,0.977|0.759,0.07|3.17,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1556.51
104,0.00531,99.95,1.18214,71.15,90.84,1.17683,0.005963516800208056,15.175,0.979|0.744,0.05|3.44,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,258,49920,1571.68
105,0.00532,99.954,1.18113,71.64,90.98,1.17581,0.005778920650491681,15.375,0.975|0.735,0.12|3.64,904.8|364.0,3120.0|3120.0,260|260,0|0,2|0,256,49920,1587.06
106,0.00512,99.954,1.17883,71.6,90.97,1.17371,0.005596058484423656,15.334,0.977|0.736,0.09|3.62,904.8|352.9,3120.0|3120.0,260|260,0|0,2|0,257,49920,1602.39
