epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,wall_time_s,data_time_s,est_pipe_time_s,est_pipe_time_comm_s,peak_mem_mb,stage_mem_mb,max_weight_versions,v_max,samples,cum_wall_s,cum_est_pipe_s,overfit_warn
118,0.00558,99.934,1.14589,72.8,91.63,1.14031,0.008908755437422792,28.523,3.134,14.307,14.552,671.9,13.2|76.0,2|1,1,49920,3466.24,1721.01,0
119,0.0057,99.938,1.14962,72.78,91.58,1.14392,0.008524292833776707,28.659,1.069,14.449,14.673,671.7,13.2|76.0,2|1,1,49920,3494.9,1735.46,0
120,0.00559,99.952,1.1379,72.91,91.53,1.1323,0.008146598311101316,29.168,4.484,14.67,14.851,671.9,13.2|76.0,2|1,1,49920,3524.06,1750.13,0
121,0.00566,99.94,1.13061,72.8,91.57,1.12495,0.007775827023107834,29.939,3.998,14.47,14.715,671.9,13.2|76.0,2|1,1,49920,3554.0,1764.6,0
122,0.00527,99.952,1.1285,73.18,91.72,1.12323,0.007412131279501297,29.912,4.104,14.65,14.837,641.8,13.2|76.0,2|1,1,49920,3583.91,1779.25,0
123,0.00527,99.948,1.13237,73.04,91.72,1.1271,0.007055660483413029,28.827,3.212,14.502,14.734,671.9,13.2|76.0,2|1,1,49920,3612.74,1793.75,0
124,0.00533,99.954,1.12425,73.05,91.68,1.11892,0.006706561070027109,28.812,0.956,14.552,14.771,671.7,13.2|76.0,2|1,1,49920,3641.55,1808.3,0
125,0.00538,99.946,1.1183,73.05,91.9,1.11292,0.00636497644642601,29.158,3.165,14.65,14.846,672.7,13.2|76.0,2|1,1,49920,3670.71,1822.95,0
126,0.00533,99.95,1.12972,73.14,91.6,1.12439,0.006031046932680229,29.781,3.904,14.455,14.696,672.7,13.2|76.0,2|1,1,49920,3700.49,1837.41,0
127,0.00544,99.94,1.11411,73.48,91.89,1.10867,0.005704909704205949,29.761,3.998,14.45,14.679,671.9,13.2|76.0,2|1,1,49920,3730.25,1851.86,0
128,0.00505,99.956,1.11306,73.38,91.8,1.10802,0.005386698735414572,29.536,3.791,14.545,14.758,671.9,13.2|76.0,2|1,1,49920,3759.79,1866.4,0
129,0.00518,99.96,1.11302,73.38,91.84,1.10784,0.005076544744677128,29.003,0.557,14.654,14.834,634.9,13.2|76.0,2|1,1,49920,3788.79,1881.06,0
130,0.00518,99.96,1.11564,73.32,91.8,1.11045,0.004774575140626317,28.909,2.629,14.504,14.734,671.9,13.2|76.0,2|1,1,49920,3817.7,1895.56,0
131,0.00516,99.96,1.10963,73.29,91.84,1.10447,0.004480913969818099,29.893,3.69,14.485,14.711,671.9,13.2|76.0,2|1,1,49920,3847.59,1910.05,0
132,0.00525,99.954,1.10898,73.33,91.87,1.10373,0.004195681865774406,30.066,3.291,14.662,14.851,671.9,13.2|76.0,2|1,1,49920,3877.66,1924.71,0
133,0.0051,99.956,1.10916,73.4,91.96,1.10406,0.003918995999427949,29.2,3.617,14.388,14.626,671.9,13.2|76.0,2|1,1,49920,3906.86,1939.1,0
134,0.00518,99.958,1.10571,73.51,91.89,1.10053,0.003650970030989362,28.75,2.917,14.431,14.668,671.9,13.2|76.0,2|1,1,49920,3935.61,1953.53,0
135,0.00505,99.968,1.10702,73.54,91.8,1.10197,0.0033917140632565624,28.824,0.991,14.555,14.77,634.9,13.2|76.0,2|1,1,49920,3964.43,1968.08,0
136,0.00494,99.962,1.1047,73.34,91.82,1.09976,0.003141334596385448,29.264,4.295,14.667,14.866,671.9,13.2|76.0,2|1,1,49920,3993.7,1982.75,0
137,0.00502,99.962,1.1049,73.32,91.96,1.09988,0.0028999344841405374,29.52,3.77,14.471,14.7,672.7,13.2|76.0,2|1,1,49920,4023.22,1997.22,0
138,0.00505,99.96,1.10263,73.52,91.84,1.09758,0.0026676128916435257,29.531,3.294,14.469,14.678,671.9,13.2|76.0,2|1,1,49920,4052.75,2011.69,0
139,0.00505,99.962,1.10256,73.53,92.01,1.09751,0.002444465254637063,29.152,2.16,14.659,14.846,671.9,13.2|76.0,2|1,1,49920,4081.9,2026.35,0
140,0.00483,99.968,1.10585,73.5,91.81,1.10103,0.0022305832402805897,28.92,0.818,14.613,14.803,634.9,13.2|76.0,2|1,1,49920,4110.82,2040.96,0
141,0.00498,99.962,1.10273,73.56,91.93,1.09775,0.002026054709494235,29.131,5.29,14.533,14.759,671.9,13.2|76.0,2|1,1,49920,4139.95,2055.5,0
142,0.00503,99.964,1.10204,73.6,91.99,1.09701,0.001830963680866285,30.084,3.722,14.683,14.864,671.9,13.2|76.0,2|1,1,49920,4170.04,2070.18,0
