epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
143,0.00581,99.98,1.26558,69.61,89.78,1.25976,0.0006581561184556295,16.374,0.915|0.750,1.21|3.50,1704.1|548.3,3120.0|3120.0,260|130,0|0,0|2,91,49920,2341.87
144,0.0058,99.982,1.26884,69.48,89.79,1.26304,0.000587764314914967,16.37,0.918|0.747,1.17|3.54,1705.1|548.3,3120.0|3120.0,260|130,0|0,0|2,90,49920,2358.24
145,0.00587,99.972,1.26707,69.6,89.82,1.2612,0.0005212389780812732,16.643,0.913|0.747,1.22|3.54,1704.1|547.8,3120.0|3120.0,260|130,0|0,0|2,93,49920,2374.89
146,0.00596,99.97,1.26842,69.51,89.83,1.26246,0.0004586074359995118,16.428,0.916|0.756,1.18|3.40,1704.1|548.3,3120.0|3120.0,260|130,0|0,0|2,94,49920,2391.31
147,0.00591,99.978,1.26589,69.5,89.78,1.25999,0.00039989541717674215,16.356,0.934|0.673,0.91|4.80,1704.9|549.3,3120.0|3120.0,260|130,0|0,0|2,75,49920,2407.67
148,0.00576,99.974,1.26632,69.51,89.74,1.26056,0.0003451270400130646,16.458,0.923|0.752,1.10|3.51,1704.1|547.8,3120.0|3120.0,260|130,0|0,0|2,93,49920,2424.13
149,0.00595,99.97,1.26804,69.54,89.65,1.26209,0.00029432480289398377,16.356,0.917|0.681,1.15|4.66,1705.1|547.8,3120.0|3120.0,260|130,0|0,0|2,75,49920,2440.48
150,0.00578,99.982,1.26594,69.6,89.77,1.26015,0.0002475095749482603,16.195,0.926|0.766,1.01|3.18,1704.1|547.8,3120.0|3120.0,260|130,0|0,0|2,95,49920,2456.68
151,0.00583,99.982,1.26618,69.63,89.8,1.26035,0.00020470058747505516,16.532,0.921|0.746,1.13|3.61,1705.1|548.3,3120.0|3120.0,260|130,0|0,0|2,92,49920,2473.21
152,0.00574,99.982,1.26428,69.54,89.78,1.25853,0.00016591542604387443,15.97,0.934|0.682,0.82|4.54,1704.9|548.3,3120.0|3120.0,260|130,0|0,0|2,76,49920,2489.18
153,0.00583,99.972,1.2664,69.53,89.79,1.26057,0.00013117002327055926,16.314,0.915|0.749,1.21|3.50,1704.8|525.3,3120.0|3120.0,260|130,0|0,0|2,94,49920,2505.49
154,0.00579,99.982,1.26683,69.61,89.84,1.26104,0.0001004786522723089,16.687,0.916|0.733,1.23|3.83,1704.8|525.7,3120.0|3120.0,260|130,0|0,0|2,90,49920,2522.18
155,0.00572,99.98,1.26558,69.65,89.76,1.25986,7.385392080440534e-05,16.191,0.934|0.672,0.92|4.80,1704.8|525.3,3120.0|3120.0,260|130,0|0,0|2,75,49920,2538.37
156,0.00591,99.974,1.26791,69.57,89.75,1.262,5.130676608104845e-05,16.365,0.935|0.668,0.89|4.86,1704.3|549.3,3120.0|3120.0,260|130,0|0,0|2,74,49920,2554.74
157,0.00573,99.988,1.26672,69.48,89.8,1.26099,3.2846450282447705e-05,16.457,0.913|0.747,1.23|3.49,1704.1|547.8,3120.0|3120.0,260|130,0|0,0|2,94,49920,2571.19
158,0.00566,99.974,1.26564,69.77,89.8,1.25998,1.8480556749991273e-05,16.215,0.908|0.764,1.29|3.27,1704.8|549.3,3120.0|3120.0,260|130,0|0,0|2,94,49920,2587.41
159,0.00575,99.982,1.26519,69.58,89.69,1.25944,8.214986871076801e-06,16.4,0.929|0.758,0.94|3.37,1704.8|546.8,3120.0|3120.0,260|130,0|0,0|2,94,49920,2603.81
160,0.00577,99.982,1.26672,69.67,89.72,1.26095,2.0539576548717075e-06,16.104,0.924|0.765,1.03|3.19,1704.1|525.3,3120.0|3120.0,260|130,0|0,0|2,93,49920,2619.91
