epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
20,1.08821,70.174,2.48374,46.03,72.07,1.39553,0.018329212407100996,117.261,0.967|0.635,1.25|39.81,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,2352.37
21,1.02833,71.709,2.64526,42.67,68.5,1.61693,0.018090169943749474,117.559,0.964|0.631,1.56|40.19,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,516,99840,2469.93
22,0.95046,73.543,2.42908,46.61,72.49,1.47861,0.017836934573258398,118.855,0.952|0.625,2.69|41.50,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,506,99840,2588.79
23,0.88901,74.898,2.51823,47.12,72.72,1.62922,0.017569950556517566,117.462,0.965|0.636,1.37|39.59,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,2706.25
24,0.80734,77.212,2.64063,43.74,69.06,1.83329,0.017289686274214115,119.636,0.947|0.621,3.29|42.12,3519.0|920.0,24960.0|24960.0,520|520,0|0,0|2,501,99840,2825.89
25,0.76687,78.173,2.70362,44.7,70.65,1.93675,0.016996633405133656,119.082,0.951|0.626,2.75|41.35,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,506,99840,2944.97
26,0.68645,80.319,2.54711,46.96,72.07,1.86067,0.016691306063588582,119.855,0.942|0.618,3.68|42.64,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,496,99840,3064.82
27,0.64369,81.385,2.67815,46.16,71.75,2.03447,0.016374239897486896,117.098,0.968|0.635,1.08|39.56,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,3181.92
28,0.5897,82.977,2.56126,48.36,73.46,1.97156,0.01604599114862375,117.49,0.967|0.633,1.23|39.96,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,3299.41
29,0.51584,85.104,2.80282,45.65,70.67,2.28698,0.01570713567684432,118.956,0.952|0.627,2.64|41.27,3519.0|919.9,24960.0|24960.0,520|520,0|0,0|2,506,99840,3418.37
30,0.48414,85.984,2.65762,47.6,72.03,2.17348,0.015358267949789966,118.633,0.956|0.627,2.30|41.10,3519.0|919.9,24960.0|24960.0,520|520,0|0,0|2,510,99840,3537.0
31,0.43757,87.33,2.49129,49.22,74.02,2.05372,0.015,117.436,0.966|0.633,1.24|39.98,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,3654.44
32,0.3885,88.694,2.52091,50.45,74.42,2.13242,0.01463296035119862,117.494,0.966|0.633,1.27|39.92,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,518,99840,3771.93
33,0.34178,90.212,2.4779,50.79,74.72,2.13612,0.014257792915650727,118.286,0.957|0.629,2.12|40.63,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,512,99840,3890.22
34,0.32384,90.688,2.79247,47.07,71.69,2.46863,0.01387515586452103,119.492,0.946|0.622,3.26|41.93,3519.0|919.9,24960.0|24960.0,520|520,0|0,0|2,501,99840,4009.71
35,0.27677,92.073,2.55369,50.85,74.71,2.27691,0.013485720473218152,117.63,0.965|0.633,1.33|40.00,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,4127.34
36,0.23866,93.347,2.70594,49.51,72.86,2.46729,0.013090169943749475,117.517,0.965|0.634,1.38|39.89,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,517,99840,4244.86
37,0.19092,94.767,2.45836,51.95,76.03,2.26744,0.012689198206152656,117.91,0.963|0.636,1.49|39.71,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,4362.77
38,0.16099,95.837,2.514,51.08,74.96,2.353,0.012283508701106558,117.472,0.966|0.634,1.29|39.79,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,4480.24
39,0.13111,96.753,2.46607,52.28,75.45,2.33496,0.011873813145857249,118.592,0.956|0.628,2.28|40.92,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,510,99840,4598.83
40,0.10524,97.583,2.46678,52.82,76.1,2.36154,0.011460830285624118,119.2,0.950|0.623,2.79|41.72,3519.0|919.9,24960.0|24960.0,520|520,0|0,0|2,505,99840,4718.03
41,0.08436,98.227,2.35574,54.22,77.22,2.27138,0.011045284632676535,117.528,0.965|0.635,1.34|39.70,3519.0|873.0,24960.0|24960.0,520|520,0|0,0|2,519,99840,4835.56
